distance_m,approach_rate_mps,pitch,roll,accel_magnitude,gyro_magnitude,tilt_magnitude,visibility_m,humidity_percent,label
79.25,0.17,3.77,1.07,0.7426,0.148,3.9222,19.0,63.8,0
9.59,8.82,3.65,11.2,1.9385,0.4176,11.782,6.3,79.6,2
38.59,0.28,1.32,3.48,0.3908,0.1465,3.7187,22.0,55.5,0
18.6,2.29,-1.2,3.9,0.8904,0.501,4.0774,15.4,70.2,1
7.71,10.93,-0.26,-7.23,1.645,1.4086,7.2366,1.5,83.7,3
20.16,0.21,1.33,-2.11,0.3228,0.1843,2.4893,23.9,64.8,0
67.04,0.64,2.79,2.41,0.3129,0.126,3.6868,15.1,59.1,0
38.12,0.81,3.63,0.21,0.1657,0.1316,3.6374,24.0,54.6,0
55.54,0.91,-1.14,0.01,0.2459,0.2152,1.1382,19.6,37.9,0
79.92,0.18,0.38,-1.88,0.5163,0.1452,1.9221,19.0,47.6,0
2.47,13.98,5.86,-1.73,0.9667,1.5032,6.1089,5.8,93.3,3
23.47,3.45,-2.12,-3.93,0.7732,0.1083,4.4701,8.1,73.8,1
25.89,-0.35,-0.69,1.63,0.4667,0.1356,1.7747,16.4,49.4,0
48.98,0.82,2.44,2.4,0.398,0.0856,3.4275,22.9,51.6,0
15.9,7.22,3.22,-3.15,1.416,0.2518,4.5083,5.4,91.9,2
16.04,3.76,1.74,-4.99,0.8325,0.3768,5.2838,9.8,81.1,1
23.97,0.68,4.31,4.34,0.6767,0.5854,6.1138,16.0,80.7,1
0.54,16.7,-16.47,-2.25,2.4134,1.1286,16.6194,2.4,93.6,3
49.23,-0.17,2.53,2.11,0.4404,0.1476,3.2902,18.1,50.4,0
23.66,1.37,4.01,-3.02,0.6221,0.1494,5.0185,22.9,41.2,0
68.99,0.17,-1.39,2.64,0.2035,0.1444,2.9843,15.8,51.1,0
0.76,7.75,0.87,2.22,2.0809,1.7293,2.3835,1.1,94.9,3
15.1,2.04,-1.02,-4.85,1.015,0.7405,4.9548,5.5,73.6,2
16.18,1.47,-4.71,2.32,0.6107,0.3168,5.2481,12.9,69.7,1
6.88,11.03,1.25,0.79,2.1526,1.6753,1.4811,2.2,88.2,3
8.65,3.32,0.42,3.42,1.6456,0.574,3.4496,8.5,74.2,2
66.65,1.37,2.22,-0.92,0.4649,0.1897,2.4039,19.1,56.7,0
21.06,2.9,16.33,-16.58,0.619,2.1572,23.2714,6.4,61.3,2
13.07,3.62,1.3,-3.8,0.9454,0.2786,4.0147,6.3,61.5,1
4.13,6.78,2.69,-11.15,0.9596,0.9962,11.4722,5.3,91.8,2
13.82,0.14,-16.75,-11.4,3.0279,0.879,20.2625,10.6,66.2,2
5.64,5.99,0.26,-6.44,1.6519,0.5315,6.4414,3.3,95.8,3
9.2,3.51,4.07,8.69,1.1638,1.1684,9.5939,6.5,72.2,2
27.96,1.33,-3.62,3.6,0.692,0.1294,5.1055,17.0,64.9,0
19.75,3.61,2.57,-8.16,0.2248,0.4692,8.556,15.0,55.7,1
70.88,0.14,-1.87,-2.45,0.0711,0.148,3.0766,15.7,56.8,0
13.03,6.32,3.43,4.84,1.245,1.2727,5.9358,3.4,73.1,2
17.91,2.64,-4.01,-5.59,0.7675,0.3373,6.8812,8.0,77.0,1
39.06,1.09,-16.45,12.18,2.0873,0.8853,20.4677,12.2,64.4,2
20.37,3.26,2.74,1.93,0.3279,0.4728,3.3516,14.7,55.0,1
23.93,2.11,1.69,8.05,0.9217,0.3123,8.2277,6.9,59.6,1
67.67,0.9,0.19,0.92,0.4361,0.1579,0.9393,23.4,63.7,0
32.04,0.41,-1.16,2.63,0.5287,0.2149,2.8779,22.6,38.6,0
22.1,3.93,-4.5,5.26,1.6463,0.4846,6.9271,7.1,55.7,1
3.33,18.19,5.19,-12.16,0.8639,1.3595,13.2191,4.9,97.3,3
12.0,5.8,-3.37,4.56,1.1703,1.3628,5.6703,9.6,72.7,2
1.43,10.04,5.62,5.94,2.489,1.6299,8.1731,3.8,91.3,3
9.91,4.63,3.46,-0.73,1.083,1.2343,3.5346,3.7,85.5,2
29.39,1.12,-1.13,-2.95,0.6185,0.1245,3.1545,17.2,30.4,0
77.99,1.15,-1.13,-5.52,0.5909,0.1812,5.633,19.5,53.5,0
66.33,-0.83,0.88,-3.07,0.6148,0.0883,3.1971,19.7,46.1,0
77.02,-0.36,-2.97,-3.4,0.3342,0.0955,4.5087,20.1,59.9,0
26.27,-0.48,-2.58,-1.32,0.514,0.1562,2.8976,24.1,37.7,0
19.5,2.07,0.03,-3.44,1.0831,0.1293,3.4353,7.0,63.6,1
21.71,1.31,-3.82,0.19,0.5728,0.371,3.8284,6.4,71.0,1
14.25,4.66,-4.74,-1.19,1.0039,0.6097,4.8898,6.3,91.7,2
15.16,3.72,-1.25,6.27,0.1504,0.3206,6.3975,14.8,71.0,1
10.32,8.92,-7.16,5.59,0.5749,0.9093,9.0825,3.9,86.9,2
36.57,-0.64,0.5,-0.57,0.4591,0.1744,0.76,17.7,41.2,0
1.16,17.28,2.34,2.75,2.8594,0.5794,3.6068,4.5,88.1,3
10.96,8.07,-0.77,7.22,1.1633,0.8568,7.2618,6.5,74.8,2
18.75,2.19,1.04,0.25,0.4468,0.8314,1.0658,11.5,66.7,1
38.83,2.35,-24.24,14.22,1.354,0.4674,28.1029,12.8,53.8,3
11.41,3.87,13.74,0.06,1.4082,0.4852,13.7434,3.1,91.4,2
31.38,0.91,6.62,3.11,0.1508,0.2822,7.3133,22.0,62.5,0
22.85,0.82,0.13,-0.08,0.8503,0.7316,0.153,11.7,77.0,1
22.48,3.87,-2.81,2.69,0.2063,0.2082,3.8949,11.3,68.8,1
17.67,2.74,8.1,-2.44,1.3236,0.112,8.4584,16.4,77.8,1
39.85,0.13,-4.54,-2.2,0.2445,0.3228,5.0431,18.6,38.4,0
43.08,1.31,0.78,-0.98,0.4497,0.1624,1.2477,19.9,45.3,0
12.75,3.85,-6.1,0.12,0.8028,0.4065,6.1027,8.9,71.3,1
8.13,3.93,-4.06,1.84,1.8382,0.5759,4.4556,3.2,72.8,2
24.12,1.79,3.54,0.83,0.2832,0.3384,3.6381,17.9,68.1,1
14.77,2.24,0.71,-3.83,0.4135,0.3653,3.897,13.0,77.9,1
5.68,11.53,-3.2,9.06,0.6162,0.4962,9.6111,8.6,76.6,2
55.76,-0.19,3.04,-0.96,0.6011,0.2094,3.1927,24.8,34.8,0
38.5,-0.01,-3.67,0.2,0.4109,0.2197,3.6743,17.6,46.3,0
78.55,0.44,3.09,2.89,0.5318,0.0744,4.2343,19.2,54.4,0
23.78,3.05,-11.4,-3.62,0.7565,0.4518,11.9649,14.8,80.8,1
35.18,-0.83,-2.07,-2.91,0.6848,0.2267,3.5758,15.9,59.6,0
12.3,3.65,-2.93,3.03,0.443,0.5779,4.2114,8.1,74.4,2
5.37,12.48,2.69,4.26,1.7126,1.1766,5.0409,7.5,80.7,2
9.93,5.64,-8.12,-1.52,0.343,0.4989,8.262,3.6,91.7,2
44.39,0.34,1.66,-0.3,0.2504,0.1914,1.6907,22.0,31.4,0
59.37,1.38,-1.84,2.89,0.764,0.1466,3.426,18.2,31.9,0
6.45,5.66,0.84,-1.87,1.1903,1.2985,2.051,2.7,90.5,3
47.49,-0.97,1.48,1.31,0.4627,0.1711,1.9778,16.0,32.1,0
4.97,9.75,1.49,3.84,1.0358,0.4916,4.1173,8.4,82.0,2
4.81,9.19,-8.05,-2.45,1.4653,0.7508,8.4133,8.8,83.9,2
15.56,2.12,4.07,0.57,0.7387,0.5089,4.1096,15.5,75.5,1
12.53,1.89,0.1,3.13,0.4523,0.245,3.1287,8.2,65.3,1
11.07,2.56,1.73,-5.57,1.1572,0.5845,5.8371,12.1,61.5,1
29.35,2.23,-23.54,10.84,2.1713,1.0892,25.9157,12.2,61.4,3
31.03,-0.83,-2.59,-0.07,0.1341,0.1166,2.5921,17.2,56.3,0
41.55,1.18,0.52,1.23,0.301,0.225,1.3331,19.8,53.3,0
15.36,7.16,8.05,0.55,1.5106,0.4311,8.0698,9.1,85.5,2
61.83,0.97,-2.44,0.05,0.7185,0.1536,2.4406,20.7,37.3,0
36.69,-0.24,3.18,-1.35,0.596,0.1911,3.4553,16.6,37.4,0
61.67,0.79,-1.98,0.05,0.6779,0.0688,1.9758,23.6,43.9,0
26.42,0.38,-0.48,2.7,0.2276,0.2249,2.7403,23.5,33.2,0
18.99,3.14,3.01,-1.3,0.378,0.4294,3.2787,11.5,69.0,1
50.65,0.55,-1.83,0.85,0.5343,0.1643,2.0146,16.6,60.7,0
3.66,17.5,-8.25,6.69,3.9385,0.9221,10.6204,3.8,83.6,3
27.48,2.27,-3.28,3.45,1.3283,0.5128,4.7665,12.8,68.0,1
44.44,0.57,0.74,-2.19,0.729,0.1119,2.3115,20.9,45.7,0
6.37,13.51,-6.95,-3.05,0.6607,0.8647,7.5899,2.8,86.8,3
14.2,2.04,-6.18,-1.99,1.4185,0.3904,6.4946,14.7,58.4,1
18.25,2.91,3.33,3.17,0.9509,0.2501,4.5935,13.4,71.4,1
59.57,0.7,-1.57,0.47,0.3181,0.2183,1.6404,19.9,63.2,0
13.5,0.85,-3.84,-2.4,0.3286,0.4526,4.5242,9.0,58.5,1
12.83,3.76,4.31,-2.36,1.4545,0.4469,4.9105,16.0,70.6,1
35.16,1.38,19.31,-19.54,1.0221,2.0238,27.4681,10.8,67.7,3
11.57,0.5,2.56,-1.92,0.8271,0.5285,3.2001,7.7,64.7,1
10.96,2.45,0.36,-2.86,0.3864,0.5669,2.8815,11.9,77.6,1
42.05,0.91,-4.05,-1.63,0.821,0.1275,4.3686,24.3,59.0,0
21.32,1.4,-6.74,-0.29,0.7983,0.3918,6.7443,8.7,66.9,1
25.74,-0.1,0.22,-2.49,0.5219,0.1909,2.4949,21.9,63.9,0
79.28,1.28,-1.03,3.75,0.6399,0.0404,3.8889,16.0,58.1,0
41.68,-0.51,4.34,1.55,0.0591,0.0574,4.6094,17.2,43.0,0
72.7,0.13,-0.78,0.22,0.4177,0.0986,0.8121,20.1,39.2,0
27.15,2.52,1.87,-1.79,0.8656,0.6012,2.5864,10.1,59.9,1
39.67,-0.15,-2.69,-0.16,0.6338,0.0846,2.6953,16.8,60.9,0
9.35,9.68,-9.1,7.58,1.8681,1.1883,11.8471,9.2,76.7,2
12.0,5.24,-11.59,8.27,1.3103,0.6316,14.237,6.9,75.1,2
15.57,2.97,2.02,8.78,1.3881,0.8558,9.0055,3.1,87.6,2
19.42,1.67,-3.58,-7.93,2.2421,3.3031,8.7007,6.5,91.2,1
13.79,2.07,3.86,-3.52,0.1528,0.3697,5.226,7.4,72.0,1
56.81,-0.24,-0.37,-1.43,0.2968,0.2235,1.4778,17.0,58.7,0
2.11,7.2,-0.7,-6.15,1.2391,1.8125,6.1916,3.7,89.9,3
58.7,-0.96,2.3,-0.37,0.3836,0.1407,2.3346,23.4,64.7,0
0.88,18.17,-0.96,-4.85,3.4412,0.5233,4.9415,2.5,82.6,3
7.76,5.35,3.68,-6.73,2.0094,0.3443,7.6718,4.8,95.4,3
